hash,ad_id,media_type,ending,filepath
7619bbe1e6b4a4dc98a0e19108ee84cd,adid_4541814399215899_1,img,jpg,data/media/waiting_room/4541814399215899_1.jpg
0b6eccd18b72cf77c8bf94197c03da5a,adid_4541814399215899_2,img,jpg,data/media/waiting_room/4541814399215899_2.jpg
e3c5b36bc17bff71f394094223ed6b35,adid_4541814399215899_3,img,jpg,data/media/waiting_room/4541814399215899_3.jpg
41f5170f6715d480b8e015ccfaae9c76,adid_4541814399215899_4,img,jpg,data/media/waiting_room/4541814399215899_4.jpg
30fb0034cf7fb1cadcc558af86e56f2e,adid_2974330032809594,img,jpg,data/media/waiting_room/2974330032809594.jpg
7619bbe1e6b4a4dc98a0e19108ee84cd,adid_179654787577115_1,img,jpg,data/media/waiting_room/179654787577115_1.jpg
0b6eccd18b72cf77c8bf94197c03da5a,adid_179654787577115_2,img,jpg,data/media/waiting_room/179654787577115_2.jpg
e3c5b36bc17bff71f394094223ed6b35,adid_179654787577115_3,img,jpg,data/media/waiting_room/179654787577115_3.jpg
41f5170f6715d480b8e015ccfaae9c76,adid_179654787577115_4,img,jpg,data/media/waiting_room/179654787577115_4.jpg
6222bd597a889394ae637d67532e34c2,adid_821274691898630_1,img,png,data/media/waiting_room/821274691898630_1.png
15117554d2c46564737d8afe8b0ff4b7,adid_821274691898630_2,img,png,data/media/waiting_room/821274691898630_2.png
d9f3833cc2afacd3ff9e4ddfd8dfb443,adid_821274691898630_3,img,png,data/media/waiting_room/821274691898630_3.png
a32de621f729e0768f2098c3225ba044,adid_821274691898630_4,img,png,data/media/waiting_room/821274691898630_4.png
c6c396a14f169e419a5070c7d8549000,adid_821274691898630_5,img,png,data/media/waiting_room/821274691898630_5.png
d19f267430c43dfa3d2fa80b68cf9705,adid_208792704505517_1,img,jpg,data/media/waiting_room/208792704505517_1.jpg
d19f267430c43dfa3d2fa80b68cf9705,adid_208792704505517_2,img,jpg,data/media/waiting_room/208792704505517_2.jpg
a180a80ba087c7d2b8df588c5b0b88ae,adid_219909656727340,img,jpg,data/media/waiting_room/219909656727340.jpg
3e72d2df5cc65e2d3062135981c53b19,adid_552827799102672,vid,mp4,data/media/waiting_room/552827799102672.mp4
849b6d337e918e0445460e1a6c682d6f,adid_380548990111939,vid,mp4,data/media/waiting_room/380548990111939.mp4
a63e7a0dd7d26e08b1f8fb0eab1a2072,adid_287426452829235,img,jpg,data/media/waiting_room/287426452829235.jpg
052ca243a506d70342407bf34eb21303,adid_698473827640731,img,jpg,data/media/waiting_room/698473827640731.jpg
052ca243a506d70342407bf34eb21303,adid_567871727739231,img,jpg,data/media/waiting_room/567871727739231.jpg
052ca243a506d70342407bf34eb21303,adid_349827866722758,img,jpg,data/media/waiting_room/349827866722758.jpg
052ca243a506d70342407bf34eb21303,adid_231889635324779,img,jpg,data/media/waiting_room/231889635324779.jpg
052ca243a506d70342407bf34eb21303,adid_785305862110826,img,jpg,data/media/waiting_room/785305862110826.jpg
c9d4740c1ae814204770b9c30c44337b,adid_1171102793399870,img,png,data/media/waiting_room/1171102793399870.png
c9d4740c1ae814204770b9c30c44337b,adid_182134784000058,img,png,data/media/waiting_room/182134784000058.png
c9d4740c1ae814204770b9c30c44337b,adid_281740860133961,img,png,data/media/waiting_room/281740860133961.png
c9d4740c1ae814204770b9c30c44337b,adid_1196982524157486,img,png,data/media/waiting_room/1196982524157486.png
8df87b3f5d29405dcd6b8ed34d1e5b63,adid_236226745094261,img,jpg,data/media/waiting_room/236226745094261.jpg
489b14ed3e38fa1bb3d305fde410960d,adid_1216993155485307_1,img,jpg,data/media/waiting_room/1216993155485307_1.jpg
876219fda9138ec8510fc020f910e68c,adid_1216993155485307_2,img,png,data/media/waiting_room/1216993155485307_2.png
62782f858348cbf3d58fa84c0d5dc572,adid_1216993155485307_3,img,png,data/media/waiting_room/1216993155485307_3.png
b6c1f0f819a2f6a3abf0398c0d6ff29f,adid_1216993155485307_4,img,png,data/media/waiting_room/1216993155485307_4.png
6624a96cbe4ba9fd2f17204ce1f08795,adid_1216993155485307_5,img,png,data/media/waiting_room/1216993155485307_5.png
c51ac20fd885f3244001b7ade47f4ce1,adid_1216993155485307_6,img,png,data/media/waiting_room/1216993155485307_6.png
